unit_id,display_name,faction,role,delivery_tier,portrait_asset_key,battle_asset_key,weapon_icon_key,visual_family,notes
player-liu-bei,Liu Bei,Player,Commander,P0-Unique,player-liu-bei__portrait,player-liu-bei__battle,vermilion-jian__icon,hero-liu-bei,Core hero unique
player-guan-yu,Guan Yu,Player,Guardian,P0-Unique,player-guan-yu__portrait,player-guan-yu__battle,iron-crescent-glaive__icon,hero-guan-yu,Core hero unique
player-zhang-fei,Zhang Fei,Player,Guardian,P0-Unique,player-zhang-fei__portrait,player-zhang-fei__battle,iron-crescent-glaive__icon,hero-zhang-fei,Core hero unique
player-huang-zhong,Huang Zhong,Player,Ranger,P0-Unique,player-huang-zhong__portrait,player-huang-zhong__battle,featherback-war-bow__icon,hero-huang-zhong,Core hero unique
player-zhuge-liang,Zhuge Liang,Player,Commander,P0-Unique,player-zhuge-liang__portrait,player-zhuge-liang__battle,wind-feather-fan__icon,hero-zhuge-liang,Core hero unique
player-zhao-yun,Zhao Yun,Player,Scout,P0-Unique,player-zhao-yun__portrait,player-zhao-yun__battle,white-dragon-spear__icon,hero-zhao-yun,Core hero unique
player-ma-chao,Ma Chao,Player,Raider,P0-Unique,player-ma-chao__portrait,player-ma-chao__battle,western-lance__icon,hero-ma-chao,Core hero unique
enemy-zhang-bao,Zhang Bao,Enemy,Commander,P0-Unique,enemy-zhang-bao__portrait,enemy-zhang-bao__battle,yellow-turban-command-seal__icon,boss-yellow-turban,Unique boss
enemy-zhang-liang,Zhang Liang,Enemy,Commander,P0-Unique,enemy-zhang-liang__portrait,enemy-zhang-liang__battle,yellow-turban-command-blade__icon,boss-yellow-turban,Unique boss
enemy-pursuit_commander,Pursuit Commander,Enemy,Commander,P0-Unique,enemy-pursuit_commander__portrait,enemy-pursuit_commander__battle,wei-command-blade__icon,boss-wei-pursuit,Unique boss
enemy-xiahou-dun,Xiahou Dun,Enemy,Commander,P0-Unique,enemy-xiahou-dun__portrait,enemy-xiahou-dun__battle,commander-lance__icon,boss-xiahou-dun,Unique boss
enemy-xiahou-yuan,Xiahou Yuan,Enemy,Commander,P0-Unique,enemy-xiahou-yuan__portrait,enemy-xiahou-yuan__battle,command-war-bow__icon,boss-xiahou-yuan,Unique boss
enemy-yellow_turban_raider,Yellow Turban Raider,Enemy,Raider,P1-Shared,archetype-yellow-turban-raider__portrait,archetype-yellow-turban-raider__battle,raider-sabre__icon,archetype-yellow-turban-raider,Shared base with palette variance
enemy-yellow_turban_hunter,Yellow Turban Hunter,Enemy,Raider,P1-Shared,archetype-yellow-turban-raider__portrait,archetype-yellow-turban-raider__battle,raider-spear__icon,archetype-yellow-turban-raider,Use hunter palette variant
enemy-fervent_spearman,Fervent Spearman,Enemy,Raider,P1-Shared,archetype-yellow-turban-raider__portrait,archetype-yellow-turban-raider__battle,raider-spear__icon,archetype-yellow-turban-raider,Use spear-heavy variant
enemy-yellow_turban_archer,Yellow Turban Archer,Enemy,Ranger,P1-Shared,archetype-yellow-turban-ranger__portrait,archetype-yellow-turban-ranger__battle,recurve-bow__icon,archetype-yellow-turban-ranger,Shared archer family
enemy-armored_zealot,Armored Zealot,Enemy,Guardian,P1-Shared,archetype-yellow-turban-guardian__portrait,archetype-yellow-turban-guardian__battle,heavy-sabre__icon,archetype-yellow-turban-guardian,Shared heavy infantry family
enemy-jiangxia-bridge-captain,Bridge Captain,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,enemy-jiangxia-bridge-captain__battle,river-shield-spear__icon,jiangxia-bridge-captain,Sample slice bridge guardian with formal battle art
enemy-jiangxia-bow-chief,River Bow Chief,Enemy,Ranger,P1-Shared,archetype-wei-ranger__portrait,enemy-jiangxia-bow-chief__battle,river-bow__icon,jiangxia-bow-chief,Sample slice bridge bow chief with formal battle art
enemy-jiangxia-outer-warden-a,Outer Bridge Warden,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,enemy-jiangxia-outer-warden-a__battle,river-shield-spear__icon,jiangxia-outer-warden,Formal battle art shared across both outer wardens
enemy-jiangxia-outer-warden-b,Outer Bridge Warden,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,enemy-jiangxia-outer-warden-a__battle,river-shield-spear__icon,jiangxia-outer-warden,Formal battle art shared across both outer wardens
enemy-jiangxia-ferry-captain,Jiangxia Ferry Captain,Enemy,Commander,P0-Unique,enemy-jiangxia-ferry-captain__portrait,enemy-jiangxia-ferry-captain__battle,command-blade__icon,boss-jiangxia-ferry,Unique boss portrait and battle sprite
enemy-jiangxia-river-rider,River Rider,Enemy,Raider,P1-Shared,archetype-wei-raider__portrait,enemy-jiangxia-river-rider__battle,river-lance__icon,jiangxia-river-rider,Formal battle art shared across the river rider pair
enemy-jiangxia-river-rider-b,River Rider,Enemy,Raider,P1-Shared,archetype-wei-raider__portrait,enemy-jiangxia-river-rider__battle,river-lance__icon,jiangxia-river-rider,Formal battle art shared across the river rider pair
enemy-luocheng-gate-captain,Gate Captain,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,enemy-luocheng-gate-captain__battle,gate-halberd__icon,luocheng-gate-captain,Sample slice gate captain with formal battle art
enemy-luocheng-wall-bow,Wall Bow Captain,Enemy,Ranger,P1-Shared,archetype-wei-ranger__portrait,enemy-luocheng-wall-bow__battle,fort-bow__icon,luocheng-wall-bow,Sample slice wall bow chief with formal battle art
enemy-luocheng-outer-guard,Outer Guard,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,enemy-luocheng-outer-guard__battle,guardian-spear__icon,luocheng-outer-guard,Sample slice outer guard with formal battle art
enemy-luocheng-commandant,Luocheng Commandant,Enemy,Commander,P0-Unique,enemy-luocheng-commandant__portrait,enemy-luocheng-commandant__battle,command-blade__icon,boss-luocheng,Unique boss portrait and battle sprite
enemy-luocheng-street-guard-a,Street Guard,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,enemy-luocheng-street-guard-a__battle,guardian-spear__icon,luocheng-street-guard,Formal battle art shared across the street guards
enemy-luocheng-street-guard-b,Street Guard,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,enemy-luocheng-street-guard-a__battle,guardian-spear__icon,luocheng-street-guard,Formal battle art shared across the street guards
enemy-bowang-vanguard,Wei Vanguard,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,archetype-wei-guardian__battle,guardian-spear__icon,archetype-wei-guardian,Shared Wei guardian family
enemy-bowang-shield,Wei Shieldwall,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,archetype-wei-guardian__battle,guardian-shield-spear__icon,archetype-wei-guardian,Shield-first variant
enemy-bowang-escort,Wei Escort,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,archetype-wei-guardian__battle,guardian-spear__icon,archetype-wei-guardian,Escort palette variant
enemy-tiger_guard,Tiger Guard,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,archetype-wei-guardian__battle,tiger-guard-polearm__icon,archetype-wei-guardian,Elite guardian palette variant
enemy-tiger_guard_captain,Tiger Guard Captain,Enemy,Guardian,P1-Shared,archetype-wei-guardian__portrait,archetype-wei-guardian__battle,tiger-guard-polearm__icon,archetype-wei-guardian,Elite captain variant
